Price,Close,High,Low,Open,Volume
Ticker,DCII.JK,DCII.JK,DCII.JK,DCII.JK,DCII.JK
Date,,,,,
3/19/2024,36500,36550,36500,36550,200
3/20/2024,36500,36500,36500,36500,500
3/21/2024,35825,36075,35825,36075,500
3/22/2024,35825,35825,35825,35825,400
3/25/2024,35825,35825,35825,35825,0
3/26/2024,35825,35825,35825,35825,0
3/27/2024,35500,35500,35500,35500,100
3/28/2024,35525,35525,35500,35500,600
4/1/2024,35525,35525,35525,35525,200
4/2/2024,35550,35575,35525,35525,2100
4/3/2024,35000,35000,35000,35000,100
4/4/2024,35000,35000,35000,35000,600
4/5/2024,35000,35000,35000,35000,0
4/16/2024,35225,35225,35200,35200,300
4/17/2024,35225,35225,35225,35225,900
4/18/2024,35250,35275,35250,35275,700
4/19/2024,35250,35250,35250,35250,700
4/22/2024,35250,35250,35250,35250,400
4/23/2024,35500,35500,35500,35500,200
4/24/2024,36150,36150,35400,35500,800
4/25/2024,36150,36150,36150,36150,100
4/26/2024,36375,36375,36375,36375,300
4/29/2024,36375,36375,36375,36375,1200
4/30/2024,36000,37800,36000,37400,1600
5/2/2024,36000,36000,36000,36000,100
5/3/2024,36000,36000,36000,36000,200
5/6/2024,35975,35975,35975,35975,100
5/7/2024,35725,35725,35725,35725,400
5/8/2024,35500,35500,35500,35500,400
5/13/2024,37600,37625,37600,37600,1100
5/14/2024,37600,37600,37600,37600,0
5/15/2024,37600,37600,37600,37600,0
5/16/2024,37500,37500,37500,37500,100
5/17/2024,37500,37500,37500,37500,0
5/20/2024,37450,37450,37450,37450,800
5/21/2024,37450,37450,37450,37450,1100
5/22/2024,37700,37700,37675,37675,600
5/27/2024,37475,37700,37450,37700,900
5/28/2024,37000,37475,37000,37475,300
5/29/2024,36350,36750,36350,36750,300
5/30/2024,36400,36600,36400,36600,600
5/31/2024,36400,36400,36400,36400,0
6/3/2024,36000,36400,36000,36400,400
6/4/2024,36000,36000,36000,36000,100
6/5/2024,35800,36000,35800,36000,400
6/6/2024,35600,35750,35600,35750,500
6/7/2024,35600,35600,35600,35600,0
6/10/2024,35250,35600,35250,35600,200
6/11/2024,36800,36800,35150,35250,1000
6/12/2024,35600,35600,35600,35600,200
6/13/2024,36500,36800,36500,36800,400
6/14/2024,35150,35150,35150,35150,100
6/19/2024,35150,35150,35000,35150,900
6/20/2024,35150,35150,35150,35150,600
6/21/2024,35150,35150,35000,35000,900
6/24/2024,35200,35200,35150,35150,2100
6/25/2024,35200,35200,35200,35200,0
6/26/2024,35400,35450,35200,35450,300
6/27/2024,35500,35500,35500,35500,400
6/28/2024,35500,35500,35500,35500,500
7/1/2024,36375,36375,35200,35250,2400
7/2/2024,37000,37000,36800,36800,800
7/3/2024,37250,37250,37250,37250,300
7/4/2024,38000,38000,38000,38000,700
7/5/2024,38100,38100,38100,38100,200
7/8/2024,38000,38100,38000,38100,400
7/9/2024,38100,38100,38000,38000,900
7/10/2024,38100,38100,38100,38100,0
7/11/2024,38100,38100,38100,38100,0
7/12/2024,38125,38125,38100,38100,400
7/15/2024,39200,39200,39200,39200,300
7/16/2024,41000,41000,39975,40000,1300
7/17/2024,39500,41075,39200,41000,3100
7/18/2024,39500,39500,39300,39400,1100
7/19/2024,39500,39500,39500,39500,200
7/22/2024,39500,39500,39500,39500,700
7/23/2024,43000,43500,39500,39500,6100
7/24/2024,42225,43000,42225,43000,1500
7/25/2024,41650,42100,41500,42000,1300
7/26/2024,41700,41700,41650,41650,700
7/29/2024,41250,41500,41250,41500,700
7/30/2024,41250,41250,41250,41250,400
7/31/2024,40200,40200,40000,40200,800
8/1/2024,40200,40200,40200,40200,100
8/2/2024,39750,40200,39750,40200,1400
8/5/2024,39400,39625,39400,39625,400
8/6/2024,39400,39400,39400,39400,500
8/7/2024,39275,39300,39275,39300,300
8/8/2024,39250,39275,39250,39275,300
8/9/2024,39250,39250,39225,39225,200
8/12/2024,41900,41900,39250,39250,400
8/13/2024,41875,41900,41875,41900,1200
8/14/2024,42000,42000,41825,41825,1100
8/15/2024,41900,42000,41900,42000,400
8/16/2024,41900,41900,41900,41900,100
8/19/2024,41900,41900,41900,41900,200
8/20/2024,41850,41900,40700,41900,800
8/21/2024,41850,42525,40500,42525,1700
8/22/2024,41600,41600,41600,41600,100
8/23/2024,41025,41350,41025,41350,600
8/26/2024,41025,41025,41025,41025,300
8/27/2024,41025,41025,41025,41025,0
8/28/2024,40025,40025,39200,39300,3800
8/29/2024,40025,40025,40025,40025,300
8/30/2024,40000,40025,39900,40025,1400
9/2/2024,43800,43800,39975,40000,2300
9/3/2024,40275,43400,39250,43400,4600
9/4/2024,41450,41450,40025,40350,1100
9/5/2024,41150,41300,41100,41300,1300
9/6/2024,40875,40900,40875,40900,1700
9/9/2024,40875,40875,40875,40875,1000
9/10/2024,41750,43800,40875,40875,2600
9/11/2024,43500,43750,43400,43500,6000
9/12/2024,52200,52200,44000,44000,39000
9/13/2024,58100,62600,53000,53000,69100
9/17/2024,58700,63800,58200,58275,30400
9/18/2024,56975,58850,56000,58725,15900
9/19/2024,54475,56975,54100,56975,7800
9/20/2024,54250,57600,53850,54450,18100
9/23/2024,54250,54250,53850,54250,9400
9/24/2024,54000,54300,53550,54025,6000
9/25/2024,53000,54100,53000,54100,4700
9/26/2024,52500,53000,51975,53000,8900
9/27/2024,52500,52500,52500,52500,400
9/30/2024,52000,52475,51825,52475,1900
10/1/2024,52000,52000,52000,52000,0
10/2/2024,52000,52000,52000,52000,100
10/3/2024,51000,51950,51000,51950,700
10/4/2024,50525,50800,50525,50800,1200
10/7/2024,49525,50025,49525,50025,2500
10/8/2024,49575,49775,49525,49525,900
10/9/2024,49550,49550,49500,49500,900
10/10/2024,49500,49525,49500,49525,500
10/11/2024,48250,49475,48250,49475,2700
10/14/2024,46725,48200,46725,48000,2800
10/15/2024,46575,46775,46525,46750,3200
10/16/2024,46450,46525,46225,46375,1000
10/17/2024,46475,46475,46450,46450,900
10/18/2024,46350,46500,46350,46500,1800
10/21/2024,46000,46225,46000,46225,2300
10/22/2024,45400,46025,45400,46025,3600
10/23/2024,45800,45800,45700,45700,300
10/24/2024,45925,45925,45900,45900,1700
10/25/2024,45350,45900,45350,45900,700
10/28/2024,44500,45350,44500,45350,1200
10/29/2024,43025,44500,42800,44500,2600
10/30/2024,41600,43025,41600,43025,1900
10/31/2024,43750,43750,41475,41600,4300
11/1/2024,44400,44400,43750,43750,1400
11/4/2024,44425,44650,44400,44400,800
11/5/2024,44025,44025,44025,44025,200
11/6/2024,40000,44000,40000,44000,1700
11/7/2024,40000,40000,40000,40000,0
11/8/2024,40000,40000,40000,40000,700
11/11/2024,40700,40700,40000,40000,200
11/12/2024,41000,41000,40700,40750,1400
11/13/2024,40900,41000,40900,41000,1100
11/14/2024,40600,40650,40600,40650,300
11/15/2024,40600,40600,40600,40600,0
11/18/2024,40600,40600,40400,40600,600
11/19/2024,44800,46250,40600,40600,2500
11/20/2024,44800,44800,44800,44800,800
11/21/2024,44800,44800,44800,44800,300
11/22/2024,44775,44775,44775,44775,100
11/25/2024,44775,44775,44775,44775,200
11/26/2024,44775,44775,44700,44700,600
11/28/2024,46100,46100,44775,44775,500
11/29/2024,46000,46000,46000,46000,100
12/2/2024,45625,45875,45625,45875,200
12/3/2024,45625,45625,45575,45575,1500
12/4/2024,44525,45625,44525,45575,400
12/5/2024,44525,44525,44525,44525,500
12/6/2024,44500,44525,44500,44525,500
12/9/2024,46000,46000,40500,40500,400
12/10/2024,42500,46000,42000,45500,500
12/11/2024,42500,42500,42500,42500,400
12/12/2024,42500,42500,42500,42500,0
12/13/2024,42500,42500,42500,42500,200
12/16/2024,42500,42500,42500,42500,0
12/17/2024,42500,42800,42500,42800,600
12/18/2024,42300,42300,42300,42300,100
12/19/2024,42300,42300,42300,42300,5000
12/20/2024,42100,42100,42100,42100,200
12/23/2024,42100,42100,42100,42100,200
12/24/2024,42100,42100,42100,42100,100
12/27/2024,42100,42100,42100,42100,100
12/30/2024,42100,42100,42000,42000,600
